,Cu,Mg,Mn,Fe,Si,Zn,Zr,temperature
0,3.8259804,1.8066247,0.7539123,0.21793728,0.23312734,0.22167404,0.19742934,0.23824991
1,4.4944215,1.2372857,0.80110335,0.14245233,0.5801862,0.11685686,0.22482142,0.7543259
2,4.5117965,1.2371256,0.4268299,0.23059821,0.3946276,0.14665344,0.2811365,0.7680188
3,3.7209146,1.1555934,0.5547261,0.106946856,0.45833462,0.21787332,0.09273753,0.7495232
4,4.528757,1.3872951,0.78147256,0.12586403,0.18338181,0.27426162,0.2390843,0.9218055
5,4.3209596,1.2973809,0.81512594,0.21514069,0.20652974,0.26132378,0.19710505,0.9618656
6,4.3020396,1.2201669,0.8873931,0.24442765,0.3094144,0.10872109,0.20977639,0.9196034
7,4.35877,1.2319734,0.555104,0.31289425,0.4112101,0.24167602,0.1751912,0.8373695
8,4.5581255,1.7909653,0.8221617,0.19567055,0.3882678,0.20008928,0.21688548,0.7058081
9,4.4814415,1.6955185,0.786947,0.18264738,0.6161033,0.13464609,0.20943317,0.82481635
10,4.398228,1.8640728,0.67021877,0.17707098,0.31557316,0.1963936,0.1941376,0.2355479
11,4.3840823,1.6450729,0.3824521,0.29767606,0.59066844,0.19175489,0.18255273,0.8225054
12,4.5782113,1.7791746,0.79600483,0.20240524,0.35813525,0.1866038,0.1581137,0.09756356
13,4.5172706,1.6911423,0.75584114,0.19429561,0.5831571,0.17249802,0.2009611,0.94454664
14,3.7307532,1.2441063,0.40367952,0.1912807,0.5657194,0.1632795,0.12676635,0.9406964
15,4.4833393,1.2307001,0.7880844,0.17834944,0.18056203,0.20147589,0.23131841,0.84823287
16,3.9419212,1.2046244,0.7762484,0.13225779,0.17466526,0.16873468,0.2750381,0.63087696
17,3.9129791,1.3674136,0.41295412,0.1921136,0.60251504,0.19186206,0.19558269,0.9285332
18,4.1211557,1.7539066,0.4159213,0.18977346,0.24375714,0.22756322,0.22932424,0.9293301
19,4.171076,1.72058,0.79968566,0.20525886,0.2846539,0.20379741,0.14524703,0.91030914
20,4.1235433,1.672288,0.55195874,0.17291513,0.29252386,0.19626036,0.20646325,0.4169682
21,4.1494913,1.5776445,0.69388443,0.19773866,0.55685216,0.15979072,0.18344027,0.95753545
22,4.452742,1.6802359,0.5294093,0.25566515,0.60446966,0.1721345,0.18166777,0.92918205
23,4.270719,1.597487,0.38650322,0.2941126,0.59976786,0.21290456,0.16564444,0.8730113
24,3.8417516,1.3280201,0.3855217,0.059369594,0.2577068,0.19064964,0.18403906,0.85730463
25,3.913515,1.3653693,0.40856853,0.047356114,0.24492098,0.19905086,0.22343117,0.86082023
26,4.06584,1.3599424,0.4050292,0.24120721,0.37496585,0.21421613,0.21263564,0.614519
27,4.520783,1.6299746,0.69919217,0.24797186,0.28190926,0.20408832,0.21373701,0.8728859
28,4.3722615,1.8262727,0.72654146,0.18152365,0.23047785,0.19127382,0.20057805,0.5003386
29,4.4048667,1.6050811,0.42087382,0.19390357,0.16987433,0.22464752,0.21142608,0.95325285
30,4.1377664,1.3691537,0.6059562,0.13551196,0.38135135,0.2969352,0.29953456,0.922869
31,4.229198,1.3731155,0.8054396,0.19650647,0.46908778,0.27107894,0.22111878,0.9563056
32,4.3397264,1.3570364,0.82822204,0.25757438,0.21567728,0.26041153,0.17234652,0.95912975
33,3.9762547,1.194117,0.5633379,0.22851643,0.21102618,0.23519821,0.19006032,0.8052067
34,4.3835726,1.4466344,0.83070236,0.27069765,0.21085097,0.25405964,0.16517678,0.94463927
35,4.2589345,1.2638924,0.82366383,0.2379021,0.21386787,0.2550413,0.18112193,0.95845336
36,4.51976,1.2626417,0.75220716,0.14771043,0.18697803,0.27979705,0.2165333,0.79287577
37,4.3717995,1.1874213,0.67963064,0.28263664,0.22791336,0.20159507,0.16260812,0.6398909
38,4.5771976,1.2448648,0.37769896,0.2760643,0.1809744,0.061153222,0.30292588,0.20388822
39,4.184762,1.3971194,0.6087409,0.11918458,0.6132573,0.28228486,0.23659435,0.8156269
40,3.827664,1.2018505,0.7333764,0.15421845,0.5221923,0.18781987,0.09513362,0.7297484
41,4.054853,1.7761178,0.5544821,0.19903849,0.2724375,0.19526662,0.19620577,0.3919217
42,3.8817544,1.372938,0.41197562,0.18888693,0.60118055,0.18400823,0.18148997,0.92699224
43,4.153541,1.7452018,0.4627487,0.1855162,0.24941866,0.22470303,0.21963768,0.9278137
