Cu,Mg,Mn,Fe,Si,Zn,Zr,temperature
4.2015495,1.243109,0.5773693,0.20957801,0.23974878,0.19693321,0.16843,0.87603617
4.110726,1.3801744,0.66351116,0.12979832,0.21434867,0.14146349,0.048367042,0.09597925
4.4774714,1.6781316,0.78501666,0.2255823,0.42768943,0.2152383,0.1834872,0.65682715
3.8031516,1.2027647,0.8012755,0.14389174,0.19595057,0.060289327,0.19042498,0.6782236
4.180636,1.7763326,0.7796741,0.23749322,0.22530824,0.14762259,0.13504109,0.80194134
4.2234936,1.2297761,0.82439125,0.11485341,0.2122589,0.12510869,0.243885,0.63658386
4.2185316,1.8236349,0.52684116,0.18056026,0.27586836,0.22196323,0.20878547,0.17746001
4.5044823,1.3211644,0.81766045,0.26032668,0.6084071,0.21180543,0.16749197,0.79144025
3.843329,1.2810402,0.68098414,0.2004709,0.22078156,0.25235322,0.25239354,0.21574897
3.9056869,1.6808399,0.42959133,0.1894502,0.58769333,0.17497927,0.20221505,0.43810052
4.0104427,1.6352111,0.44415203,0.23491402,0.5888889,0.22147194,0.2377105,0.86345387
4.0613365,1.7084031,0.45174292,0.27366,0.20564178,0.19237448,0.23450963,0.013853066
3.976835,1.76735,0.7591212,0.19568264,0.16379926,0.15826377,0.11999385,0.72532064
3.7742817,1.8140174,0.7842909,0.27247605,0.37257686,0.20430106,0.21543112,0.86977434
3.9973664,1.8129493,0.795015,0.20415445,0.38792366,0.15836692,0.1993664,0.6937355
4.532873,1.3640983,0.52776957,0.13766497,0.3845952,0.22362223,0.20769408,0.8382735
3.836972,1.3272424,0.814351,0.19919497,0.57140577,0.061655942,0.15969446,0.49575892
4.122037,1.3738992,0.484929,0.21402924,0.5403493,0.18564153,0.21942897,0.63877547
3.8218954,1.7990425,0.60050887,0.25792512,0.31518382,0.2180965,0.1555664,0.3751724
3.8049803,1.2136827,0.5662353,0.22154076,0.37201175,0.171329,0.11395977,0.68395215
4.522702,1.2492235,0.5520788,0.17680225,0.17870286,0.1783322,0.18095332,0.8687917
4.4908814,1.705895,0.70075095,0.17577454,0.23405743,0.22425613,0.23225442,0.6985347
4.108052,1.6211771,0.49563667,0.16455954,0.21425119,0.18799913,0.22587705,0.58312654
3.7548358,1.7816284,0.75922644,0.27907372,0.23765406,0.1629974,0.17691498,0.93647945
